@relation 'ToWeka_sectionSegmentation'
@attribute m1 numeric
@attribute m5 numeric
@attribute m6 numeric
@attribute m7 numeric
@attribute m8 numeric
@attribute m9 numeric
@attribute m10 numeric
@attribute m13 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v4 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute vCent numeric
@attribute vFlat numeric
@attribute class  {tani,	non_tani,	}
@data
-797.871460,5.628075,20.774652,-13.211668,-7.122118,7.523490,9.472215,2.928712,11265.465820,935.278625,451.303223,204.297546,69.115479,0.000638,0.000297,tani
-886.093323,7.404850,10.263931,-9.557754,-5.722408,2.569587,4.272249,2.004535,16796.443359,1279.092407,401.135254,124.011131,119.812004,0.000659,0.000341,tani
-819.923340,6.378176,14.587713,-12.749704,-3.380112,2.023101,4.964646,-2.281530,12329.746094,1025.479736,251.393829,125.739456,67.411064,0.000450,0.000300,tani
-837.573303,4.075027,14.024253,-14.665503,-2.799410,5.202957,0.170010,-0.431560,11368.277344,1228.787964,288.852997,189.125229,56.019238,0.000506,0.000409,tani
-820.518921,9.429559,15.053161,-8.401941,-3.572089,3.806742,1.112072,-3.032973,9976.888672,734.856873,385.312317,154.145676,70.362625,0.000486,0.000257,tani
-810.891846,6.110175,17.467203,-12.944854,-3.073471,2.124172,0.655510,-6.272587,11284.435547,700.693604,209.767776,61.147011,82.242851,0.000537,0.000249,tani
-808.200867,6.617063,16.623291,-10.376844,-6.561708,1.271564,0.728408,-7.468294,10061.695312,665.106567,274.746216,132.690826,72.995003,0.000485,0.000251,tani
-802.018799,9.021341,21.434681,-8.622369,-6.133574,-0.085767,-0.685637,-7.363148,7571.601562,496.621033,340.285950,89.884972,62.521374,0.000304,0.000174,tani
-798.634521,8.444921,18.263481,-10.534389,-4.477979,3.875294,-0.971656,-6.297478,7789.696777,666.798279,396.265015,120.124649,73.136192,0.000358,0.000213,tani
-789.518311,2.996007,17.789888,-9.963809,-4.507792,3.944002,1.465423,-3.492738,9181.910156,771.928589,504.807434,84.792778,88.078896,0.000576,0.000198,tani
